RefSigR1	RefSigR2	RefSigR3	RefSigR4	RefSigR5	RefSigR6
clustered_del_1-10Kb	0.00	0.00	0.00	0.01	0.00	0.01
clustered_del_10-100Kb	0.00	0.00	0.00	0.01	0.00	0.01
clustered_del_100Kb-1Mb	0.00	0.00	0.00	0.02	0.00	0.03
clustered_del_1Mb-10Mb	0.00	0.00	0.00	0.03	0.00	0.07
clustered_del_>10Mb	0.00	0.00	0.00	0.01	0.00	0.07
clustered_tds_1-10Kb	0.00	0.00	0.00	0.00	0.00	0.00
clustered_tds_10-100Kb	0.00	0.00	0.00	0.01	0.00	0.01
clustered_tds_100Kb-1Mb	0.01	0.00	0.00	0.01	0.00	0.03
clustered_tds_1Mb-10Mb	0.00	0.00	0.00	0.03	0.00	0.07
clustered_tds_>10Mb	0.00	0.00	0.00	0.01	0.00	0.07
clustered_inv_1-10Kb	0.00	0.00	0.00	0.03	0.00	0.02
clustered_inv_10-100Kb	0.00	0.00	0.00	0.02	0.00	0.02
clustered_inv_100Kb-1Mb	0.00	0.00	0.00	0.03	0.00	0.05
clustered_inv_1Mb-10Mb	0.00	0.00	0.00	0.06	0.00	0.15
clustered_inv_>10Mb	0.00	0.00	0.00	0.02	0.00	0.14
clustered_trans	0.00	0.00	0.00	0.56	0.00	0.00
non-clustered_del_1-10Kb	0.00	0.02	0.02	0.00	0.32	0.03
non-clustered_del_10-100Kb	0.01	0.01	0.00	0.00	0.22	0.02
non-clustered_del_100Kb-1Mb	0.04	0.05	0.00	0.00	0.05	0.02
non-clustered_del_1Mb-10Mb	0.01	0.06	0.00	0.01	0.01	0.02
non-clustered_del_>10Mb	0.00	0.06	0.01	0.00	0.01	0.02
non-clustered_tds_1-10Kb	0.00	0.00	0.53	0.00	0.01	0.00
non-clustered_tds_10-100Kb	0.16	0.00	0.22	0.00	0.12	0.00
non-clustered_tds_100Kb-1Mb	0.54	0.00	0.01	0.00	0.01	0.00
non-clustered_tds_1Mb-10Mb	0.17	0.02	0.00	0.01	0.00	0.01
non-clustered_tds_>10Mb	0.00	0.05	0.01	0.00	0.01	0.01
non-clustered_inv_1-10Kb	0.01	0.05	0.01	0.01	0.05	0.01
non-clustered_inv_10-100Kb	0.02	0.02	0.00	0.00	0.03	0.01
non-clustered_inv_100Kb-1Mb	0.02	0.04	0.00	0.00	0.00	0.01
non-clustered_inv_1Mb-10Mb	0.00	0.10	0.00	0.01	0.00	0.04
non-clustered_inv_>10Mb	0.01	0.12	0.01	0.00	0.02	0.03
non-clustered_trans	0.01	0.39	0.16	0.07	0.13	0.01
